Date,Location,Species,Gasex_typeOrSequence,Barcode,LWP_coll_time,LWP_time,LWP_bar,LWP_comment,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 1,BNL11292,08:00,09:12,22.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 1,BNL11293,08:00,09:15,19.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 1,BNL11299,08:00,09:17,18.5,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 1,BNL11265,08:00,09:09,12.0,bottom of crown,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 1,BNL11282,08:00,09:05,8.0,bottom of crown,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 1,BNL11283,08:00,09:06,10.0,bottom of crown,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 1,BNL11289,08:00,09:00,12.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 1,BNL11290,08:00,08:56,12.5,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 1,BNL11294,08:00,08:59,11.5,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 1,BNL11272,08:00,11:05,16.5,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 1,BNL11284,08:00,09:36,12.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 1,BNL11288,08:00,11:03,23.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 1,BNL11273,08:00,09:18,10.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 1,BNL11280,08:00,09:35,13.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 1,BNL11295,08:00,09:21,12.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 2,BNL11267,09:50,11:48,15.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 2,BNL11315,09:50,11:42,18.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 2,BNL11318,09:50,11:45,28.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 2,BNL11418,09:50,11:40,25.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 2,BNL11250,09:50,12:05,16.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 2,BNL11253,09:50,12:00,15.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 2,BNL11296,09:50,12:07,12.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 2,BNL11252,09:50,11:55,12.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 2,BNL11320,09:50,11:51,9.5,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 2,BNL11443,09:50,11:53,10.0,-9999,,,
