"id"	"location.id"	"x"	"y"	"period"	"col.date"	"date"	"col.time"	"time"	"depth.cat"	"depth"	"swp"	"swc"
1	1	812	437.5	"feb.2015"	42062	"2/27/2015"	0.458333	"11:00"	"shallow"	15	-0.38	33.44032682
2	1	812	437.5	"mar.2015"	42088	"3/25/2015"	0.604167	"14:30"	"shallow"	14	-0.3	24.02244973
3	1	812	437.5	"apr.2015"	42107	"4/13/2015"	0.461806	"11:05"	"shallow"	16	-0.44	33.51882634
4	1	812	437.5	"mar.2016"	42444	"3/15/2016"	0.600694444	"14:25"	"shallow"	15	-1.05	30.5210458
5	1.5	816	435	"apr.2015"	42109	"4/15/2015"	0.588194	"14:07"	"shallow"	15	-0.41	27.656783
6	2	828.5	428.5	"feb.2015"	42062	"2/27/2015"	0.454861	"10:55"	"shallow"	14	-0.39	24.95971551
7	2	828.5	428.5	"mar.2015"	42088	"3/25/2015"	0.6	"14:24"	"shallow"	13	-0.28	28.00299053
8	2	828.5	428.5	"apr.2015"	42107	"4/13/2015"	0.456944	"10:58"	"shallow"	14	-0.23	23.98760026
9	2	828.5	428.5	"mar.2016"	42443	"3/14/2016"	0.372916667	"8:57"	"shallow"	14	-1.12	22.53977273
10	3	827.5	432.5	"feb.2015"	42058	"2/23/2015"	0.424306	"10:11"	"shallow"	14	-0.5	21.52633239
11	3	827.5	432.5	"mar.2015"	42086	"3/23/2015"	0.371528	"8:55"	"shallow"	14	-0.9	24.61167002
12	3	827.5	432.5	"apr.2015"	42107	"4/13/2015"	0.454861	"10:55"	"shallow"	14	-0.86	21.40851801
13	3	827.5	432.5	"mar.2016"	42444	"3/15/2016"	0.598611111	"14:22"	"shallow"	14	-0.95	23.80843
14	4	843	409	"feb.2015"	42058	"2/23/2015"	0.435417	"10:27"	"shallow"	14.5	-0.1	34.18463156
15	4	843	409	"mar.2015"	42086	"3/23/2015"	0.377778	"9:04"	"shallow"	13	-1.13	28.70844451
16	4	843	409	"apr.2015"	42100	"4/6/2015"	0.375	"9:00"	"shallow"	14	-0.68	27.8464464
17	4	843	409	"apr.2015"	42100	"4/6/2015"	0.378472	"9:05"	"middle"	41	0	24.18750836
18	4	843	409	"mar.2016"	42443	"3/14/2016"	0.380555556	"9:08"	"shallow"	13	-0.35	20.3032433
19	4	843	409	"mar.2016"	42443	"3/14/2016"	0.380555556	"9:08"	"middle"	40	-0.26	26.4583449
